t[s],u01.dX [mm],u02.dX [mm],u03.dX [mm],u04.dX [mm],u05.dX [mm],u06.dX [mm],u07.dX [mm],u08.dX [mm],u09.dX [mm],u10.dX [mm],u11.dX [mm],u12.dX [mm],u13.dX [mm],u14.dX [mm],u15.dX [mm],u16.dX [mm],u17.dX [mm],u18.dX [mm],u19.dX [mm],u20.dX [mm],u21.dX [mm],u22.dX [mm],u23.dX [mm],u24.dX [mm],u25.dX [mm],u26.dX [mm],u27.dX [mm],u28.dX [mm],u29.dX [mm],u30.dX [mm],u31.dX [mm],u32.dX [mm],u33.dX [mm],u34.dX [mm],u35.dX [mm],u36.dX [mm],u37.dX [mm],u38.dX [mm],u39.dX [mm],u40.dX [mm],u41.dX [mm],u42.dX [mm],u43.dX [mm],u44.dX [mm],u45.dX [mm],u46.dX [mm],u47.dX [mm],u48.dX [mm],u49.dX [mm],u50.dX [mm],u51.dX [mm],u52.dX [mm],u53.dX [mm],u54.dX [mm],u55.dX [mm],u56.dX [mm],u01.dY [mm],u02.dY [mm],u03.dY [mm],u04.dY [mm],u05.dY [mm],u06.dY [mm],u07.dY [mm],u08.dY [mm],u09.dY [mm],u10.dY [mm],u11.dY [mm],u12.dY [mm],u13.dY [mm],u14.dY [mm],u15.dY [mm],u16.dY [mm],u17.dY [mm],u18.dY [mm],u19.dY [mm],u20.dY [mm],u21.dY [mm],u22.dY [mm],u23.dY [mm],u24.dY [mm],u25.dY [mm],u26.dY [mm],u27.dY [mm],u28.dY [mm],u29.dY [mm],u30.dY [mm],u31.dY [mm],u32.dY [mm],u33.dY [mm],u34.dY [mm],u35.dY [mm],u36.dY [mm],u37.dY [mm],u38.dY [mm],u39.dY [mm],u40.dY [mm],u41.dY [mm],u42.dY [mm],u43.dY [mm],u44.dY [mm],u45.dY [mm],u46.dY [mm],u47.dY [mm],u48.dY [mm],u49.dY [mm],u50.dY [mm],u51.dY [mm],u52.dY [mm],u53.dY [mm],u54.dY [mm],u55.dY [mm],u56.dY [mm],u01.dZ [mm],u02.dZ [mm],u03.dZ [mm],u04.dZ [mm],u05.dZ [mm],u06.dZ [mm],u07.dZ [mm],u08.dZ [mm],u09.dZ [mm],u10.dZ [mm],u11.dZ [mm],u12.dZ [mm],u13.dZ [mm],u14.dZ [mm],u15.dZ [mm],u16.dZ [mm],u17.dZ [mm],u18.dZ [mm],u19.dZ [mm],u20.dZ [mm],u21.dZ [mm],u22.dZ [mm],u23.dZ [mm],u24.dZ [mm],u25.dZ [mm],u26.dZ [mm],u27.dZ [mm],u28.dZ [mm],u29.dZ [mm],u30.dZ [mm],u31.dZ [mm],u32.dZ [mm],u33.dZ [mm],u34.dZ [mm],u35.dZ [mm],u36.dZ [mm],u37.dZ [mm],u38.dZ [mm],u39.dZ [mm],u40.dZ [mm],u41.dZ [mm],u42.dZ [mm],u43.dZ [mm],u44.dZ [mm],u45.dZ [mm],u46.dZ [mm],u47.dZ [mm],u48.dZ [mm],u49.dZ [mm],u50.dZ [mm],u51.dZ [mm],u52.dZ [mm],u53.dZ [mm],u54.dZ [mm],u55.dZ [mm],u56.dZ [mm]
170.704786,-0.549472,-0.549369,-0.546472,-0.546782,-0.546668,-0.545504,-0.544243,-0.543333,-0.543413,-0.541853,-0.540146,-0.539607,-0.539462,-0.537897,-0.536084,-0.534449,-0.53445,-0.534022,-0.533671,-0.532131,-0.53321,-0.531782,-0.53116,-0.529288,-0.526617,-0.525954,-0.523875,-0.523843,-0.551984,-0.55224,-0.55096,-0.550185,-0.550176,-0.549008,-0.54822,-0.547867,-0.546376,-0.545606,-0.544685,-0.543592,-0.543159,-0.541451,-0.540362,-0.539568,-0.538929,-0.53827,-0.53779,-0.53663,-0.537291,-0.537027,-0.535831,-0.534636,-0.5332,-0.531476,-0.530295,-0.529734,-0.304376,-0.316563,-0.325376,-0.335125,-0.345014,-0.351684,-0.363162,-0.371412,-0.379622,-0.387466,-0.393446,-0.402385,-0.409155,-0.417682,-0.426878,-0.435588,-0.441229,-0.44771,-0.455397,-0.460015,-0.463032,-0.465335,-0.467677,-0.468422,-0.472026,-0.473362,-0.474806,-0.476084,-0.307225,-0.317138,-0.327067,-0.336252,-0.3451,-0.354432,-0.363754,-0.372005,-0.380958,-0.389079,-0.395752,-0.402261,-0.410777,-0.419804,-0.428536,-0.436127,-0.443632,-0.450671,-0.457217,-0.46173,-0.466269,-0.468014,-0.469131,-0.470735,-0.471725,-0.473602,-0.47527,-0.477768,0.025379,0.027889,0.031303,0.03243,0.033675,0.034423,0.036965,0.037756,0.038058,0.03978,0.040148,0.040966,0.043038,0.043654,0.045568,0.047154,0.048553,0.052264,0.0538,0.057263,0.062238,0.06656,0.069373,0.074592,0.079735,0.083715,0.088448,0.089272,0.030917,0.03228,0.035964,0.033815,0.037104,0.037523,0.039502,0.039855,0.041598,0.042273,0.043008,0.041825,0.044331,0.044313,0.04671,0.048148,0.049885,0.052176,0.053808,0.056241,0.060952,0.066729,0.068308,0.073789,0.079353,0.082732,0.084433,0.08764
170.954786,-0.551706,-0.551595,-0.549215,-0.549226,-0.549189,-0.547507,-0.546568,-0.545801,-0.546191,-0.544244,-0.542687,-0.542284,-0.541843,-0.539972,-0.538381,-0.536731,-0.536535,-0.536306,-0.535807,-0.534401,-0.535668,-0.534203,-0.533524,-0.531523,-0.528962,-0.528161,-0.525542,-0.526107,-0.554731,-0.55495,-0.553297,-0.552589,-0.552941,-0.551299,-0.550627,-0.550455,-0.549001,-0.548164,-0.547319,-0.546305,-0.545182,-0.543831,-0.543068,-0.541818,-0.54129,-0.540808,-0.540102,-0.539056,-0.539667,-0.539153,-0.53809,-0.536921,-0.535627,-0.533917,-0.532416,-0.53225,-0.305008,-0.317004,-0.325965,-0.335606,-0.34514,-0.3526,-0.363708,-0.372228,-0.380283,-0.388178,-0.393742,-0.403,-0.409958,-0.418407,-0.427667,-0.435955,-0.441912,-0.448298,-0.455965,-0.460459,-0.463506,-0.465527,-0.467957,-0.468442,-0.472083,-0.473111,-0.474948,-0.475921,-0.307622,-0.317362,-0.327419,-0.336415,-0.34593,-0.354925,-0.364288,-0.372402,-0.381515,-0.389723,-0.39627,-0.402843,-0.41126,-0.420657,-0.429129,-0.436643,-0.44437,-0.451291,-0.458002,-0.462125,-0.466709,-0.468379,-0.469384,-0.470858,-0.471728,-0.47351,-0.475234,-0.477136,0.023974,0.028532,0.031546,0.033236,0.033588,0.034846,0.03698,0.037661,0.038312,0.041042,0.039404,0.041806,0.044177,0.043184,0.045094,0.048131,0.049521,0.053157,0.053594,0.057872,0.06197,0.065847,0.069774,0.074584,0.079517,0.084549,0.086918,0.090116,0.028711,0.032228,0.034893,0.03315,0.036831,0.037247,0.040585,0.04002,0.041879,0.04098,0.041777,0.042434,0.044327,0.045039,0.048085,0.047444,0.049736,0.052014,0.054502,0.057575,0.060332,0.065837,0.068109,0.074195,0.0781,0.082938,0.084349,0.088245
171.204786,-0.550488,-0.550235,-0.547693,-0.547826,-0.547407,-0.546365,-0.545281,-0.544347,-0.544569,-0.542707,-0.541276,-0.540771,-0.540439,-0.538859,-0.536843,-0.535226,-0.535141,-0.534733,-0.534228,-0.532833,-0.533995,-0.53265,-0.53188,-0.529883,-0.527226,-0.526762,-0.524438,-0.524804,-0.553302,-0.552943,-0.551814,-0.550896,-0.551219,-0.549855,-0.549114,-0.54897,-0.547624,-0.546479,-0.545615,-0.544621,-0.543962,-0.542181,-0.541232,-0.540464,-0.539608,-0.539145,-0.538508,-0.537287,-0.538016,-0.537514,-0.536614,-0.535142,-0.533938,-0.532055,-0.530832,-0.530475,-0.30219,-0.314074,-0.32298,-0.332845,-0.342513,-0.349453,-0.36085,-0.369457,-0.377385,-0.385423,-0.391336,-0.400608,-0.407015,-0.415715,-0.42515,-0.433672,-0.439299,-0.44563,-0.453384,-0.457921,-0.46057,-0.462568,-0.464721,-0.46517,-0.468657,-0.469868,-0.471174,-0.472156,-0.30458,-0.315042,-0.324703,-0.334062,-0.343103,-0.352332,-0.36114,-0.369938,-0.379008,-0.387021,-0.393721,-0.400345,-0.408775,-0.417925,-0.426527,-0.434521,-0.441678,-0.448589,-0.454908,-0.459746,-0.463533,-0.46537,-0.466138,-0.467595,-0.468476,-0.47041,-0.471769,-0.474015,0.026102,0.030105,0.032723,0.033424,0.033859,0.034656,0.036316,0.037448,0.03808,0.040262,0.039074,0.04154,0.044075,0.043353,0.044481,0.046881,0.048551,0.051869,0.053584,0.057247,0.061631,0.066052,0.068971,0.074602,0.07978,0.084347,0.087753,0.090772,0.028699,0.032502,0.03596,0.034253,0.036909,0.037253,0.039954,0.040321,0.041883,0.042238,0.042333,0.041361,0.043793,0.044238,0.045999,0.047484,0.049264,0.050993,0.053747,0.056605,0.060126,0.066139,0.068364,0.073855,0.078174,0.082309,0.084208,0.087978
171.454786,-0.549269,-0.549221,-0.546646,-0.546729,-0.546818,-0.545348,-0.544398,-0.543372,-0.543459,-0.541774,-0.540304,-0.539601,-0.539392,-0.537356,-0.535663,-0.534407,-0.533953,-0.53367,-0.533515,-0.531655,-0.532619,-0.531495,-0.530717,-0.528968,-0.526354,-0.525548,-0.523176,-0.523277,-0.552182,-0.551624,-0.550897,-0.550066,-0.550162,-0.548487,-0.547949,-0.547733,-0.546666,-0.545658,-0.54457,-0.543806,-0.543007,-0.541333,-0.540003,-0.539536,-0.538622,-0.538122,-0.537791,-0.536415,-0.537071,-0.536369,-0.53545,-0.534403,-0.532497,-0.530848,-0.529728,-0.529664,-0.314695,-0.326873,-0.336019,-0.345492,-0.355676,-0.362772,-0.374308,-0.382747,-0.39096,-0.398615,-0.404601,-0.413674,-0.420498,-0.428859,-0.438309,-0.446912,-0.452476,-0.459091,-0.46662,-0.470906,-0.47335,-0.475625,-0.477485,-0.477935,-0.481117,-0.482211,-0.482882,-0.484207,-0.318228,-0.327512,-0.33778,-0.346314,-0.355884,-0.365775,-0.374959,-0.383239,-0.391824,-0.400132,-0.407312,-0.41419,-0.422068,-0.431285,-0.439729,-0.44714,-0.454915,-0.462058,-0.468818,-0.472599,-0.476406,-0.478078,-0.478581,-0.479912,-0.481007,-0.48262,-0.484107,-0.486724,0.025288,0.026594,0.030017,0.031788,0.031912,0.03446,0.035805,0.034951,0.037162,0.03862,0.037621,0.040183,0.042188,0.041932,0.044369,0.046241,0.047464,0.052011,0.053158,0.055128,0.061661,0.065767,0.068317,0.072955,0.079812,0.082991,0.087445,0.088396,0.027838,0.0314,0.034172,0.03243,0.034127,0.035898,0.037453,0.037785,0.039436,0.041004,0.041272,0.040685,0.045084,0.043264,0.044547,0.045773,0.048122,0.049836,0.053071,0.055703,0.059924,0.064643,0.067331,0.073334,0.078829,0.082161,0.084661,0.086676
171.704786,-0.551626,-0.551992,-0.549125,-0.549458,-0.549086,-0.547595,-0.546465,-0.545787,-0.545701,-0.544107,-0.542347,-0.541774,-0.541758,-0.539304,-0.538079,-0.536443,-0.536109,-0.535862,-0.535635,-0.534033,-0.535035,-0.533767,-0.532812,-0.531052,-0.528447,-0.527518,-0.52546,-0.525315,-0.554698,-0.554724,-0.553481,-0.552592,-0.552486,-0.550945,-0.550617,-0.550196,-0.548948,-0.548061,-0.54655,-0.545906,-0.545253,-0.543367,-0.542372,-0.54159,-0.540601,-0.540097,-0.539823,-0.538495,-0.539269,-0.538473,-0.53753,-0.536305,-0.534894,-0.53283,-0.53166,-0.531525,-0.31426,-0.326415,-0.335887,-0.345153,-0.355445,-0.362442,-0.373969,-0.38254,-0.390502,-0.398386,-0.404413,-0.413866,-0.420375,-0.428672,-0.437879,-0.446543,-0.452376,-0.458925,-0.466137,-0.470462,-0.472958,-0.474753,-0.476851,-0.476911,-0.480376,-0.481168,-0.481973,-0.483179,-0.317531,-0.327456,-0.337773,-0.345963,-0.35551,-0.365293,-0.374828,-0.382859,-0.391832,-0.399906,-0.407199,-0.413933,-0.421916,-0.431,-0.439278,-0.447138,-0.454866,-0.461807,-0.468447,-0.472098,-0.475934,-0.477479,-0.478136,-0.47906,-0.48025,-0.481648,-0.483049,-0.48535,0.024727,0.028385,0.029567,0.030752,0.031939,0.034141,0.035258,0.034669,0.036435,0.038136,0.0385,0.040229,0.041437,0.042234,0.044473,0.046262,0.048241,0.051573,0.052549,0.056382,0.061295,0.064792,0.068518,0.073005,0.079928,0.082874,0.087562,0.089591,0.027678,0.029954,0.033799,0.030975,0.033839,0.036942,0.037799,0.037801,0.039975,0.040419,0.041577,0.039235,0.044474,0.043904,0.045206,0.046318,0.047564,0.049879,0.053577,0.055788,0.059611,0.065497,0.067641,0.073218,0.079327,0.082984,0.085697,0.088558
171.954786,-0.549506,-0.549009,-0.54622,-0.546574,-0.546443,-0.545281,-0.544064,-0.542924,-0.543336,-0.541607,-0.539903,-0.539557,-0.539193,-0.537181,-0.535736,-0.534278,-0.533899,-0.533582,-0.533163,-0.531559,-0.532653,-0.531326,-0.530697,-0.52879,-0.5257,-0.525309,-0.523233,-0.523012,-0.552196,-0.552045,-0.550764,-0.549659,-0.549695,-0.548717,-0.547841,-0.547423,-0.546216,-0.545447,-0.544281,-0.543514,-0.542716,-0.54103,-0.540036,-0.539194,-0.538434,-0.537714,-0.537358,-0.536148,-0.536757,-0.536108,-0.535219,-0.534025,-0.532111,-0.530426,-0.529215,-0.528771,-0.309506,-0.32165,-0.331009,-0.340367,-0.350522,-0.357498,-0.369066,-0.377974,-0.386002,-0.394028,-0.399727,-0.409086,-0.416017,-0.424229,-0.433681,-0.442248,-0.447656,-0.454185,-0.461481,-0.465688,-0.468104,-0.470139,-0.471737,-0.471823,-0.47512,-0.475998,-0.477169,-0.478022,-0.312468,-0.322289,-0.332728,-0.341347,-0.351149,-0.360505,-0.36997,-0.378166,-0.387035,-0.395459,-0.402254,-0.409205,-0.417511,-0.426578,-0.43513,-0.442713,-0.449994,-0.457246,-0.463678,-0.467604,-0.471252,-0.472491,-0.473252,-0.474082,-0.47482,-0.476492,-0.477893,-0.479867,0.026501,0.027575,0.032365,0.03342,0.033431,0.036251,0.037321,0.037737,0.038182,0.040531,0.037979,0.040892,0.043676,0.043612,0.045324,0.047572,0.047878,0.051712,0.054027,0.057519,0.062523,0.066351,0.070283,0.075102,0.081113,0.085419,0.088365,0.090247,0.0291,0.03041,0.036066,0.032775,0.036652,0.037224,0.040399,0.040185,0.041379,0.042498,0.042164,0.041935,0.045843,0.044813,0.045782,0.04772,0.050052,0.050842,0.054515,0.057579,0.060457,0.065744,0.068563,0.07536,0.080535,0.083094,0.084522,0.087887
172.204786,-0.547799,-0.547434,-0.544655,-0.544482,-0.544666,-0.543585,-0.542326,-0.54112,-0.540965,-0.539743,-0.538275,-0.537455,-0.537432,-0.535145,-0.533661,-0.532367,-0.531665,-0.531684,-0.53141,-0.529697,-0.530603,-0.529376,-0.528711,-0.526851,-0.523881,-0.523078,-0.520664,-0.520796,-0.550196,-0.550187,-0.548824,-0.547989,-0.547843,-0.546597,-0.54581,-0.54533,-0.544588,-0.543688,-0.542508,-0.541544,-0.540775,-0.539079,-0.537957,-0.537551,-0.536435,-0.536064,-0.53562,-0.534255,-0.534924,-0.533904,-0.533135,-0.531986,-0.529786,-0.52841,-0.527622,-0.527177,-0.321692,-0.33407,-0.343101,-0.352916,-0.363747,-0.37032,-0.381983,-0.390564,-0.398894,-0.40712,-0.412848,-0.422002,-0.428712,-0.4371,-0.44623,-0.455643,-0.460837,-0.467181,-0.474555,-0.478263,-0.480637,-0.48243,-0.483974,-0.484022,-0.487206,-0.487777,-0.488486,-0.489427,-0.325456,-0.335549,-0.345247,-0.353704,-0.363678,-0.373665,-0.382813,-0.390956,-0.399743,-0.408554,-0.415676,-0.422464,-0.430464,-0.439219,-0.448062,-0.45591,-0.463337,-0.470216,-0.476657,-0.480057,-0.483434,-0.48495,-0.48558,-0.486253,-0.487201,-0.488203,-0.489711,-0.491837,0.024979,0.027754,0.029343,0.032568,0.032802,0.033643,0.036415,0.036679,0.036153,0.038581,0.037722,0.039946,0.040954,0.042552,0.044111,0.045876,0.047381,0.051246,0.053241,0.056124,0.061701,0.065167,0.068354,0.074139,0.078925,0.083208,0.086293,0.087364,0.027576,0.031158,0.033964,0.034239,0.035452,0.037293,0.038188,0.037942,0.03975,0.040379,0.041556,0.040535,0.04422,0.042632,0.043154,0.046917,0.048905,0.049441,0.052346,0.055159,0.058921,0.064622,0.067841,0.072879,0.078239,0.081417,0.084635,0.087523
172.454786,-0.550435,-0.550014,-0.547393,-0.547406,-0.547175,-0.54628,-0.544891,-0.543901,-0.544029,-0.542394,-0.540914,-0.540162,-0.540208,-0.537749,-0.536324,-0.534874,-0.534289,-0.534325,-0.533964,-0.532341,-0.533438,-0.532097,-0.53118,-0.529248,-0.526622,-0.525792,-0.523702,-0.523466,-0.552783,-0.552338,-0.551491,-0.55052,-0.550902,-0.549426,-0.548701,-0.548114,-0.547487,-0.546304,-0.545334,-0.544486,-0.543491,-0.541813,-0.540638,-0.539995,-0.538951,-0.538648,-0.538104,-0.536759,-0.537642,-0.536407,-0.535492,-0.534619,-0.532802,-0.531073,-0.530171,-0.529534,-0.325109,-0.337325,-0.346643,-0.356246,-0.367185,-0.373813,-0.385314,-0.393929,-0.402415,-0.410408,-0.416457,-0.425829,-0.432396,-0.44078,-0.449938,-0.459348,-0.464432,-0.47083,-0.47802,-0.481698,-0.483705,-0.48543,-0.486858,-0.486979,-0.489645,-0.490615,-0.491257,-0.49185,-0.328835,-0.338519,-0.348531,-0.357448,-0.367202,-0.377379,-0.386089,-0.394551,-0.403365,-0.412175,-0.419265,-0.426121,-0.433815,-0.442624,-0.4518,-0.459751,-0.466892,-0.473678,-0.480061,-0.483616,-0.486369,-0.487976,-0.488245,-0.489199,-0.48987,-0.491029,-0.49233,-0.494566,0.025221,0.026698,0.02886,0.03249,0.033481,0.034987,0.036606,0.036569,0.037186,0.038412,0.037936,0.040139,0.040866,0.042006,0.043759,0.045276,0.047208,0.050673,0.052969,0.056559,0.061218,0.065394,0.068553,0.073858,0.07886,0.083293,0.087654,0.088467,0.02888,0.032733,0.03515,0.034384,0.035685,0.038091,0.038684,0.037849,0.039594,0.041076,0.041493,0.040705,0.044328,0.043325,0.044452,0.045301,0.047315,0.050263,0.052454,0.05593,0.060076,0.064328,0.067328,0.073406,0.07849,0.082936,0.084282,0.085756
172.704786,-0.55092,-0.550418,-0.548242,-0.547695,-0.547859,-0.546481,-0.545324,-0.544554,-0.544614,-0.542715,-0.541099,-0.540558,-0.540559,-0.538138,-0.536709,-0.535268,-0.534923,-0.534701,-0.534625,-0.532761,-0.533687,-0.532656,-0.531778,-0.529846,-0.527011,-0.526224,-0.524054,-0.524042,-0.553211,-0.553412,-0.551986,-0.551055,-0.55116,-0.549732,-0.549152,-0.548813,-0.547786,-0.546472,-0.545637,-0.544891,-0.54388,-0.541981,-0.541349,-0.540565,-0.539432,-0.539056,-0.538446,-0.537288,-0.538083,-0.537105,-0.536107,-0.534953,-0.533215,-0.531567,-0.530297,-0.530184,-0.317109,-0.329663,-0.339273,-0.348925,-0.359597,-0.366564,-0.377961,-0.386507,-0.395032,-0.403213,-0.408966,-0.418623,-0.425149,-0.43375,-0.442696,-0.451675,-0.457198,-0.463641,-0.470621,-0.474487,-0.476474,-0.47811,-0.479446,-0.47933,-0.482077,-0.482764,-0.483548,-0.483914,-0.320887,-0.330913,-0.340873,-0.349667,-0.359747,-0.369628,-0.379046,-0.387468,-0.396147,-0.404424,-0.411986,-0.418912,-0.426645,-0.436013,-0.444487,-0.452196,-0.459613,-0.466564,-0.472944,-0.476251,-0.479376,-0.480629,-0.480893,-0.48146,-0.482225,-0.483296,-0.484301,-0.487043,0.028221,0.030035,0.031732,0.032802,0.034394,0.036038,0.037541,0.036611,0.039113,0.039373,0.039008,0.040884,0.042117,0.0432,0.045223,0.047575,0.049137,0.05191,0.054522,0.057609,0.062587,0.065881,0.069828,0.074942,0.08066,0.085024,0.088682,0.090174,0.028752,0.031011,0.037626,0.034097,0.03695,0.039027,0.040306,0.039236,0.041438,0.042745,0.042371,0.042022,0.046061,0.044981,0.046318,0.048463,0.049387,0.049869,0.053525,0.056689,0.061246,0.065843,0.06881,0.074369,0.079774,0.083887,0.086344,0.088392
172.954786,-0.547356,-0.546747,-0.544225,-0.544204,-0.544126,-0.542887,-0.541656,-0.540646,-0.54026,-0.539181,-0.537656,-0.536978,-0.536861,-0.53464,-0.533325,-0.531631,-0.531228,-0.531002,-0.530722,-0.529051,-0.529879,-0.528641,-0.527892,-0.52594,-0.523137,-0.522341,-0.520162,-0.519867,-0.549709,-0.549116,-0.548476,-0.547191,-0.547311,-0.546317,-0.545286,-0.544691,-0.543725,-0.54291,-0.541707,-0.540717,-0.540332,-0.538515,-0.537294,-0.536564,-0.53564,-0.535289,-0.534776,-0.533634,-0.534098,-0.533051,-0.532315,-0.531215,-0.529025,-0.527319,-0.526504,-0.526163,-0.322798,-0.335482,-0.344508,-0.354486,-0.365362,-0.372181,-0.383689,-0.392618,-0.400696,-0.409154,-0.415,-0.424428,-0.431111,-0.439449,-0.448364,-0.457853,-0.462924,-0.469276,-0.476298,-0.47972,-0.481841,-0.483508,-0.484684,-0.484283,-0.487273,-0.487475,-0.48822,-0.488604,-0.32677,-0.336367,-0.346318,-0.355258,-0.365685,-0.375565,-0.384592,-0.393113,-0.401952,-0.410783,-0.417945,-0.424833,-0.43273,-0.441499,-0.450432,-0.458276,-0.465563,-0.472045,-0.478598,-0.481444,-0.484652,-0.485778,-0.48594,-0.486779,-0.487029,-0.488281,-0.489342,-0.491516,0.026195,0.029744,0.031366,0.032365,0.034156,0.035633,0.037384,0.038073,0.038174,0.039574,0.038118,0.041277,0.042291,0.044071,0.044618,0.046123,0.048845,0.051387,0.05405,0.057325,0.06184,0.066342,0.069819,0.075376,0.080829,0.083082,0.088523,0.08882,0.028803,0.030056,0.036964,0.034325,0.036074,0.038447,0.040138,0.03972,0.041627,0.04174,0.042196,0.042368,0.045088,0.044041,0.044383,0.047212,0.049783,0.050455,0.054025,0.056754,0.060918,0.066408,0.068448,0.074599,0.079405,0.083542,0.085382,0.089125
173.204786,-0.547789,-0.547486,-0.544487,-0.544908,-0.544645,-0.543599,-0.542369,-0.541108,-0.54143,-0.539878,-0.538241,-0.537752,-0.5374,-0.535572,-0.533649,-0.532153,-0.531803,-0.531497,-0.531257,-0.529695,-0.530679,-0.529157,-0.528662,-0.526545,-0.523506,-0.522915,-0.52073,-0.520601,-0.550403,-0.550341,-0.549066,-0.547757,-0.54812,-0.546884,-0.545863,-0.545366,-0.54471,-0.543545,-0.542562,-0.541502,-0.540851,-0.539219,-0.537844,-0.537224,-0.536386,-0.535897,-0.535545,-0.53422,-0.534812,-0.533803,-0.532635,-0.531399,-0.529525,-0.528062,-0.526892,-0.526685,-0.336994,-0.349512,-0.358946,-0.369215,-0.379223,-0.386473,-0.398032,-0.406845,-0.415449,-0.423675,-0.429424,-0.438603,-0.445337,-0.454116,-0.463319,-0.472415,-0.477334,-0.483257,-0.490499,-0.493825,-0.496228,-0.497538,-0.498387,-0.498115,-0.500453,-0.501168,-0.501514,-0.502482,-0.339983,-0.350659,-0.360683,-0.369981,-0.379605,-0.38975,-0.398759,-0.407314,-0.416582,-0.425324,-0.431938,-0.438623,-0.447126,-0.455935,-0.465053,-0.4729,-0.480175,-0.486521,-0.492256,-0.495686,-0.498761,-0.50008,-0.500113,-0.500593,-0.500889,-0.502036,-0.502848,-0.504686,0.026848,0.029225,0.032303,0.033868,0.034474,0.035316,0.037866,0.037191,0.037807,0.040424,0.037997,0.03983,0.042319,0.043024,0.043986,0.045593,0.048691,0.051905,0.053919,0.057288,0.06216,0.067167,0.070258,0.075189,0.080381,0.084127,0.08789,0.0902,0.030284,0.031932,0.035672,0.035381,0.036566,0.038531,0.039307,0.04006,0.041725,0.041303,0.041546,0.041539,0.044722,0.043623,0.045594,0.046692,0.049355,0.049594,0.053412,0.0564,0.060091,0.064562,0.068374,0.073385,0.078497,0.083174,0.085014,0.088086
173.454786,-0.549685,-0.549129,-0.546182,-0.546467,-0.546452,-0.545133,-0.543933,-0.542978,-0.542928,-0.541741,-0.540163,-0.539637,-0.539135,-0.537116,-0.535196,-0.533857,-0.533577,-0.533355,-0.533073,-0.531391,-0.532549,-0.530833,-0.530144,-0.528145,-0.525356,-0.524569,-0.522147,-0.522158,-0.552039,-0.552051,-0.550887,-0.54967,-0.549809,-0.548246,-0.547755,-0.547283,-0.546417,-0.545298,-0.544189,-0.543173,-0.542283,-0.540947,-0.539525,-0.538913,-0.537971,-0.53736,-0.537085,-0.535864,-0.536731,-0.535226,-0.534334,-0.533291,-0.531256,-0.529754,-0.528475,-0.528169,-0.330661,-0.3435,-0.352778,-0.36325,-0.373764,-0.38063,-0.392193,-0.401004,-0.409415,-0.417977,-0.423859,-0.433019,-0.43997,-0.448363,-0.45747,-0.466802,-0.471883,-0.477786,-0.484679,-0.488207,-0.490292,-0.491361,-0.492299,-0.491859,-0.494113,-0.494691,-0.49533,-0.49578,-0.334562,-0.344609,-0.354792,-0.364038,-0.373857,-0.383987,-0.393143,-0.401667,-0.410899,-0.419703,-0.426516,-0.433431,-0.441456,-0.449985,-0.459255,-0.467475,-0.474587,-0.480779,-0.486751,-0.489942,-0.492623,-0.49372,-0.493694,-0.494109,-0.494575,-0.495315,-0.496362,-0.49821,0.02771,0.029152,0.031128,0.033744,0.032562,0.035404,0.037699,0.037745,0.037082,0.04013,0.038489,0.040248,0.042321,0.04297,0.044455,0.045962,0.048517,0.052225,0.053517,0.058082,0.061876,0.066579,0.06988,0.075789,0.080086,0.084331,0.087691,0.090343,0.028693,0.03192,0.037345,0.035535,0.035911,0.036873,0.039284,0.039302,0.040597,0.041506,0.042156,0.041981,0.043931,0.043279,0.044229,0.04844,0.048576,0.049901,0.052924,0.056726,0.060684,0.065123,0.068878,0.074195,0.079406,0.083458,0.084851,0.08916
